Date,Search: TOPIC:BITCOIN Story Count
2018-11-01,21
2018-10-31,15
2018-10-30,15
2018-10-29,15
2018-10-26,9
2018-10-25,8
2018-10-24,8
2018-10-23,17
2018-10-22,12
2018-10-19,12
2018-10-18,22
2018-10-17,8
2018-10-16,9
2018-10-15,14
2018-10-12,8
2018-10-11,23
2018-10-10,15
2018-10-09,11
2018-10-05,17
2018-10-04,12
2018-10-03,13
2018-10-02,9
2018-10-01,14
2018-09-28,12
2018-09-27,23
2018-09-26,10
2018-09-25,25
2018-09-24,7
2018-09-21,12
2018-09-20,27
2018-09-19,25
2018-09-18,11
2018-09-17,7
2018-09-14,15
2018-09-13,12
2018-09-12,20
2018-09-11,25
2018-09-10,20
2018-09-07,17
2018-09-06,47
2018-09-05,32
2018-09-04,9
2018-08-31,7
2018-08-30,6
2018-08-29,5
2018-08-28,9
2018-08-27,13
2018-08-24,7
2018-08-23,16
2018-08-22,12
2018-08-21,12
2018-08-20,14
2018-08-17,17
2018-08-16,10
2018-08-15,25
2018-08-14,27
2018-08-13,15
2018-08-10,15
2018-08-09,11
2018-08-08,25
2018-08-07,9
2018-08-06,14
2018-08-03,18
2018-08-02,16
2018-08-01,13
2018-07-31,14
2018-07-30,10
2018-07-27,26
2018-07-26,23
2018-07-25,10
2018-07-24,24
2018-07-23,18
2018-07-20,16
2018-07-19,13
2018-07-18,27
2018-07-17,19
2018-07-16,35
2018-07-13,33
2018-07-12,11
2018-07-11,13
2018-07-10,11
2018-07-09,6
2018-07-06,17
2018-07-05,7
2018-07-03,9
2018-07-02,14
2018-06-29,25
2018-06-28,37
2018-06-27,18
2018-06-26,18
2018-06-25,31
2018-06-22,25
2018-06-21,24
2018-06-20,71
2018-06-19,8
2018-06-18,56
2018-06-15,11
2018-06-14,32
2018-06-13,23
2018-06-12,19
2018-06-11,39
2018-06-08,16
2018-06-07,14
2018-06-06,19
2018-06-05,15
2018-06-04,12
2018-06-01,18
2018-05-31,17
2018-05-30,12
2018-05-29,10
2018-05-25,19
2018-05-24,27
2018-05-23,21
2018-05-22,18
2018-05-21,15
2018-05-18,20
2018-05-17,13
2018-05-16,15
2018-05-15,45
2018-05-14,44
2018-05-11,27
2018-05-10,22
2018-05-09,19
2018-05-08,35
2018-05-07,23
2018-05-04,25
2018-05-03,9
2018-05-02,23
2018-05-01,17
2018-04-30,23
2018-04-27,11
2018-04-26,13
2018-04-25,21
2018-04-24,24
2018-04-23,26
2018-04-20,19
2018-04-19,26
2018-04-18,34
2018-04-17,20
2018-04-16,12
2018-04-13,25
2018-04-12,44
2018-04-11,20
2018-04-10,13
2018-04-09,23
2018-04-06,18
2018-04-05,30
2018-04-04,15
2018-04-03,25
2018-04-02,12
2018-03-29,35
2018-03-28,14
2018-03-27,24
2018-03-26,28
2018-03-23,22
2018-03-22,38
2018-03-21,19
2018-03-20,28
2018-03-19,27
2018-03-16,46
2018-03-15,25
2018-03-14,51
2018-03-13,33
2018-03-12,20
2018-03-09,27
2018-03-08,37
2018-03-07,63
2018-03-06,22
2018-03-05,33
2018-03-02,66
2018-03-01,27
2018-02-28,32
2018-02-27,54
2018-02-26,45
2018-02-23,34
2018-02-22,55
2018-02-21,41
2018-02-20,45
2018-02-16,26
2018-02-15,78
2018-02-14,73
2018-02-13,65
2018-02-12,33
2018-02-09,55
2018-02-08,63
2018-02-07,75
2018-02-06,116
2018-02-05,103
2018-02-02,148
2018-02-01,109
2018-01-31,64
2018-01-30,75
2018-01-29,104
2018-01-26,104
2018-01-25,94
2018-01-24,72
2018-01-23,92
2018-01-22,74
2018-01-19,39
2018-01-18,115
2018-01-17,181
2018-01-16,118
2018-01-12,108
2018-01-11,182
2018-01-10,86
2018-01-09,94
2018-01-08,81
2018-01-05,38
2018-01-04,75
2018-01-03,82
2018-01-02,57
2017-12-29,63
2017-12-28,98
2017-12-27,49
2017-12-26,60
2017-12-22,159
2017-12-21,128
2017-12-20,124
2017-12-19,83
2017-12-18,116
2017-12-15,56
2017-12-14,90
2017-12-13,159
2017-12-12,202
2017-12-11,207
2017-12-08,97
2017-12-07,229
2017-12-06,119
2017-12-05,47
2017-12-04,87
2017-12-01,77
2017-11-30,107
2017-11-29,212
2017-11-28,75
2017-11-27,86
2017-11-24,10
2017-11-22,23
2017-11-21,59
2017-11-20,25
2017-11-17,20
2017-11-16,20
2017-11-15,25
2017-11-14,34
2017-11-13,54
2017-11-10,16
2017-11-09,20
2017-11-08,25
2017-11-07,25
2017-11-06,13
2017-11-03,29
2017-11-02,43
2017-11-01,20
2017-10-31,26
2017-10-30,9
2017-10-27,11
2017-10-26,13
2017-10-25,12
2017-10-24,21
2017-10-23,16
2017-10-20,14
2017-10-19,7
2017-10-18,13
2017-10-17,20
2017-10-16,8
2017-10-13,20
2017-10-12,33
2017-10-11,26
2017-10-10,13
2017-10-06,10
2017-10-05,14
2017-10-04,17
2017-10-03,19
2017-10-02,25
2017-09-29,46
2017-09-28,12
2017-09-27,19
2017-09-26,9
2017-09-25,8
2017-09-22,13
2017-09-21,8
2017-09-20,13
2017-09-19,10
2017-09-18,29
2017-09-15,64
2017-09-14,49
2017-09-13,23
2017-09-12,37
2017-09-11,15
2017-09-08,13
2017-09-07,5
2017-09-06,7
2017-09-05,27
2017-09-01,5
2017-08-31,15
2017-08-30,8
2017-08-29,5
2017-08-28,7
2017-08-25,3
2017-08-24,7
2017-08-23,8
2017-08-22,9
2017-08-21,9
2017-08-18,4
2017-08-17,8
2017-08-16,7
2017-08-15,6
2017-08-14,13
2017-08-11,5
2017-08-10,7
2017-08-09,3
2017-08-08,5
2017-08-07,5
2017-08-04,3
2017-08-03,5
2017-08-02,5
2017-08-01,19
2017-07-31,7
2017-07-28,3
2017-07-27,7
2017-07-26,6
2017-07-25,11
2017-07-24,6
2017-07-21,8
2017-07-20,6
2017-07-19,4
2017-07-18,11
2017-07-17,10
2017-07-14,9
2017-07-13,2
2017-07-12,10
2017-07-11,14
2017-07-10,5
2017-07-07,6
2017-07-06,4
2017-07-05,4
2017-07-03,0
2017-06-30,2
2017-06-29,3
2017-06-28,3
2017-06-27,10
2017-06-26,7
2017-06-23,0
2017-06-22,3
2017-06-21,1
2017-06-20,3
2017-06-19,3
2017-06-16,3
2017-06-15,8
2017-06-14,4
2017-06-13,6
2017-06-12,6
2017-06-09,0
2017-06-08,3
2017-06-07,3
2017-06-06,11
2017-06-05,9
2017-06-02,2
2017-06-01,8
2017-05-31,6
2017-05-30,3
2017-05-26,4
2017-05-25,22
2017-05-24,4
2017-05-23,7
2017-05-22,5
2017-05-19,4
2017-05-18,2
2017-05-17,2
2017-05-16,14
2017-05-15,8
2017-05-12,7
2017-05-11,0
2017-05-10,1
2017-05-09,3
2017-05-08,0
2017-05-05,0
2017-05-04,0
2017-05-03,0
2017-05-02,1
2017-05-01,1
2017-04-28,0
2017-04-27,2
2017-04-26,2
2017-04-25,2
2017-04-24,0
2017-04-21,1
2017-04-20,1
2017-04-19,0
2017-04-18,0
2017-04-17,1
2017-04-13,0
2017-04-12,1
2017-04-11,3
2017-04-10,2
2017-04-07,0
2017-04-06,0
2017-04-05,0
2017-04-04,2
2017-04-03,0
2017-03-31,0
2017-03-30,0
2017-03-29,0
2017-03-28,0
2017-03-27,0
2017-03-24,0
2017-03-23,1
2017-03-22,0
2017-03-21,0
2017-03-20,4
2017-03-17,1
2017-03-16,1
2017-03-15,1
2017-03-14,2
2017-03-13,12
2017-03-10,22
2017-03-09,2
2017-03-08,6
2017-03-07,0
2017-03-06,0
2017-03-03,6
2017-03-02,3
2017-03-01,1
2017-02-28,5
2017-02-27,2
2017-02-24,2
2017-02-23,6
2017-02-22,2
2017-02-21,1
2017-02-17,0
2017-02-16,0
2017-02-15,1
2017-02-14,0
2017-02-13,0
2017-02-10,4
2017-02-09,6
2017-02-08,3
2017-02-07,1
2017-02-06,2
2017-02-03,0
2017-02-02,0
2017-02-01,0
2017-01-31,1
2017-01-30,4
2017-01-27,1
2017-01-26,0
2017-01-25,0
2017-01-24,3
2017-01-23,8
2017-01-20,1
2017-01-19,4
2017-01-18,0
2017-01-17,5
2017-01-13,0
2017-01-12,3
2017-01-11,5
2017-01-10,5
2017-01-09,9
2017-01-06,7
2017-01-05,7
2017-01-04,9
2017-01-03,3
2016-12-30,1
2016-12-29,1
2016-12-28,2
2016-12-27,0
2016-12-23,2
2016-12-22,1
2016-12-21,1
2016-12-20,3
2016-12-19,0
2016-12-16,4
2016-12-15,1
2016-12-14,0
2016-12-13,3
2016-12-12,0
2016-12-09,0
2016-12-08,1
2016-12-07,4
2016-12-06,1
2016-12-05,2
2016-12-02,0
2016-12-01,4
2016-11-30,1
2016-11-29,1
2016-11-28,3
2016-11-25,1
2016-11-23,0
2016-11-22,2
2016-11-21,2
2016-11-18,3
2016-11-17,0
2016-11-16,1
2016-11-15,0
2016-11-14,0
2016-11-10,0
2016-11-09,1
2016-11-08,3
2016-11-07,3
2016-11-04,0
2016-11-03,5
2016-11-02,0
2016-11-01,0
